,sequence,label
337,killbill:  j'ai appris un truc,positive
338,TiteSeve bsrrrr,positive
339,Rire ma killbill,positive
342,Bonsoir,positive
344,Bisous miss Romantiqua :),positive
346,TiteSeve kissssssss,positive
348,Romantiqua bonsoir,positive
349,la prochaine fois je te préviens avant ma TiteSeve mdrrr,positive
350,Sihem re :),positive
351,loll Massss,positive
353,"Rire ma killbill, à ta guise!",positive
359,ha badnick4808 c'est sexy aussi,positive
360,Merciii killbill,positive
363,merci killbill :),positive
372,(rien d'original mais ça soulage (comme le peintre),positive
374,une soirée sans insultes la non je reve :),positive
376,Little_Doolx3:  ah oui ? Mince... Trouve un joli garçon pour te réssuciter :o Bouche à bouche et tout,positive
379,Tout arrive LeRebelle ^^,positive
381,faut croire TiteSeve,positive
383,Salam,positive
385,super,positive
390,Bonsoir a toutes et a tous,positive
393,lol pas faux titelive,positive
394,bonsoir Jeremiiii,positive
395,"Little_Doolx3: je pense que looping|222 est l'homme de la situation, il m'a l'air d'être un grand pouete",positive
396,oui je maitrise bien la langue de molière,positive
397,je confirme,positive
398,Hello,positive
400,Wouawou ca existe encore caramail lol,positive
403,Bonsoir ici,positive
405,"Pas titelive suis pas si violente looping|222, TiteSeve suffira ^^",positive
410,hello,positive
411,tu es la sève de la jeunesse Tite,positive
412,le seigneur quel seigneur,positive
414,looping|222 le seigneur,positive
416,ben le canon moral supérieur,positive
417,Avec moi tu vas pas être déçu en ortho,positive
418,Mdrrrrrrr,positive
420,bonne soirée les gens,positive
427,Elolo: hey lolo,positive
432,merci,positive
435,hey!!!!,positive
437,ça vas toi?,positive
438,Bonsoir 🌷🌹🌷,positive
440,après on se débarrasse de nos béquilles pour penser par nous mêmes,positive
443,les femmes me comprennent,positive
445,"Ma killbill, mille bisous, à vite!",positive
448,Bonne soirée à vous  :) pas de bêtises  :),positive
449,bonsoir À tous :,positive
452,bisousssssss ma TiteSeve à bientôt ma douce <3,positive
455,Bisouille Terre-Hermess :),positive
456,ouii,positive
457,ok Elolo,positive
458,Sltt,positive
459,<3 ma killbil,positive
461,bonne nuit TiteSeve,positive
466,merci,positive
467,Bonne nuit TiteSeve,positive
468,hihi j'essaye de m'appliquer,positive
470,Ça va ?,positive
471,tkt ça vas venir,positive
472,"Bonsoir, je vous remercie pour la musique",positive
473,Redol non non on est immortelle ici lol,positive
480,Dial sympa ?,positive
486,loll,positive
491,Salut,positive
495,Salam,positive
496,coucou,positive
497,bonsoir,positive
498,Hello Leila75,positive
499,c un poete Elolo tu le reconnaitra en le croisant ;),positive
500,Leila75 slm,positive
502,bonsoir,positive
508, t'es cool ce soir je vais réviser ma position a ton sujet,positive
510,bonsoir,positive
515,Merci de votre écoute,positive
516,Bonsoir,positive
519,!calin,positive
522,bonsoir Fan1414,positive
523,Bonsoir,positive
524,Eldorande bsrrrr,positive
530,Un peu mais ça va c'est gerable,positive
531,Trop beau PetitPierre|Happy-Days|On-AiR,positive
533,cool alors,positive
535,Magnifique,positive
536,Re bonsoir tout le monde,positive
537,bonsoir!,positive
538,!coca,positive
540,aimons nous sous le grand ciel bleu,positive
542,bonsoir les arrivantes,positive
543,Bonsoir,positive
544,bisou,positive
546,!calin Aaliyah,positive
547, Homelander prend Aaliyah dans ses bras et lui fait un énorme calin ❤❤❤,positive
551,bonsoir Kbyle222,positive
552,Bsr hannibal,positive
553,bonsoir,positive
554,il a fini par la trover la femme de sa vie,positive
555,ouf un poli,positive
557,Hellooooo,positive
558,bsr steve,positive
559,hello yar,positive
560,Comment allez vous donc ?,positive
564,salut,positive
565,sisi,positive
567,oui LeRebelle,positive
568,et oui Hannibal,positive
569,Salut,positive
570,!calin,positive
574,C est mignon,positive
575,elle se caline,positive
577,héhé,positive
580,Tu fais bien !,positive
583,Je suis bien d accord,positive
584,merci a tous de votre écoute bonne fin de soiree :x:x:x,positive
585,Les coussins ça marche bien aussi,positive
586,Merci pour ton anime Zeux||Smile-RaDio|On-Air,positive
589,Bonsoir,positive
591,bonsoir killbill,positive
592,Merci pour votre écoute :),positive
593,bonsoir H-Lamberty,positive
594,bisous tess,positive
595,salut Tess_,positive
597,re Tess_,positive
598,hello,positive
599,Merci pour ton anim Maude2b|US-Route-66|OnAir au toooop,positive
600,Bonsoir bonsoir Tess_,positive
603,bonsoir tess77,positive
605,Assia:   hello  la nana  lol,positive
607,Merci Cerrutti81,positive
609,Tess_ bisous bsr,positive
614,tu as bien raison Tess_,positive
616,+hannibal- bonsoir,positive
619,Slt a tous,positive
629,Elolo: Te noie pas..,positive
633,je vais essayer xd,positive
635,mdrrr,positive
643,resister,positive
650,!plouf enissay et bonsoir en même temps,positive
654,bonsoir candice :3,positive
655,j'ai dit que tu avais raison de te faire plaisir Tess_,positive
662,Mdrrr,positive
664,Bsr tt l monde,positive
668,Tess_ offre à  Desesperance une bonne part de gateau !  ≧✯◡✯≦✌,positive
671,pas grave,positive
673,mdrrr,positive
677,trop de gentillesse Tess_,positive
680,!calin,positive
684,Une pierre deux coup,positive
687,Bonsoir,positive
689,Christian et Xavier les deux meilleurs,positive
690,bonsoir les arrivantes,positive
691,Bonne nuit à tous,positive
692,Bonne nuit a tous,positive
693,hello Galou64,positive
694,je suis un grand fan des 12 coups de midi Desesperance ;),positive
695,bonne nuit Maude2b,positive
698,bonne nuit Maude2b Cerrutti81,positive
700,Merci killbill,positive
712,Merci killbill,positive
714,la presse c'est le quatrieme pouvoir c hyper importan,positive
716,Bonsoir tout le monde,positive
719,Bonsoir,positive
720,connais,positive
725,bonsoir nina,positive
726,bonsoir,positive
727,hello Lolotte44,positive
731,bonsoir,positive
732,narcissique je suis d accord,positive
733,je suis d accord Desesperance,positive
735,"Tess_: Si si tu connais ,c'est quasi sur",positive
736,Yo41 kikou,positive
738,et toute la presse n est pas mensongère,positive
740,"Merci killbill ,j'croyais voir flou..",positive
741,ca va Lolotte44 ?,positive
745,mdrrr,positive
752,Killbill bonsoir,positive
753,jétais vachement content de l apprendre,positive
754,Oui c'est vrai.,positive
755,bisous tess,positive
757,toi aussi XENOPHANE,positive
758,Non allez bonne nuit tt le monde,positive
760,Salut 👋,positive
762,bonne nuit Elolo,positive
765,bonne nuit Elolo,positive
768,Bonsoir,positive
769,moi je l'aide positivement a aiguiser son sens esthétique,positive
770,bonne nuit Elolo :),positive
771, Bonsoir  DjokAliSaurus,positive
772,!k XENOPHANE c est ça,positive
773,"quel homme, c'est vraiment le meilleur",positive
774,wouais,positive
775,Hello le salon :),positive
779,Kbyle222 bsr bisous,positive
783,Bsr babycrew bisou,positive
784,Très intéressant.,positive
787,c'est important de se muscler le sphyncter,positive
788,je parie sur xavier,positive
792,LeRebelle: C'était vachement marrant ca ...,positive
797,jsute la connaissance,positive
798, Bonsoir  Le_Seigneur_Des_Tombes,positive
799,Bonsoir killbill.,positive
801,"Tess_: Non pas du tout ,je suis vraiment passionné par ce genre de sujet",positive
804,oui killbill je suis contant pour toi,positive
807,karl zéro est très investit sur le sujet.,positive
811,mdrrrr,positive
813,Bientôt les vacances killbill c'est ça si je me souviens bien.,positive
815,alors allons y,positive
817,!calin,positive
823,Wouhouuu l'italiiiiee,positive
825,"Homelander a le corps qui bouge et aimerait inviter Aaliyah à danser, serrés l'un contre l'autre ヘ( ^o^)ノ\(^_^ )",positive
833,On est en Final ...,positive
835,"Aaliyah a le corps qui bouge et aimerait inviter Homelander à danser, serrés l'un contre l'autre ヘ( ^o^)ノ\(^_^ )",positive
838,j'ai acheté ses deux magazines ils sont très bien faits également.,positive
840,_Medecin_Ritale Ouiiii :3,positive
845,Killbill ta gagné ton parie,positive
846,"Bien sur killbill, si tu t'occupes de la musique on devrait pas trop mal s'entendre sur la route.",positive
847,Italien dans le coeur et dans le geste,positive
854,'soir,positive
856,mais ça avance,positive
857,mdrr,positive
859,ben si!!,positive
860,Killbill ah ok possible,positive
862,!calin Enissay :p,positive
863, Forseti prend Enissay dans ses bras et lui fait un énorme calin ❤❤❤,positive
866,!calin Forseti,positive
867, Enissay prend Forseti dans ses bras et lui fait un énorme calin ❤❤❤,positive
869,On vas le gagner,positive
873,Tess_: (rire)...,positive
878,ça va le faire,positive
880,mdrr,positive
882,Je peux t'aider si tu veux Tess_,positive
883,en tout cas tant mieux,positive
884,pas bête pour le danemark,positive
889,bonsoir à tous,positive
892,"mais je vois l'angleterre  gagner l""euro",positive
893,Bonsoir gigi18.,positive
895,gigi18: ciao,positive
896,Bonsoir à toutes et,positive
897, Bonsoir  gigi18,positive
898,bonsoir gigi18,positive
900,merci,positive
901,bonsoir gigi,positive
906,sa peu aller merci,positive
909,salut tt le monde,positive
913,Gigi bonsoir,positive
914,ils sont solide les italiens,positive
915,Coucou,positive
916,il etait tres fort aimé jacquet,positive
917,bonsoir Mamy,positive
920,Bonsoir Mamy.,positive
921,Oui tess,positive
924,Bonsoir bonsoir,positive
926,bienvenue gigi18,positive
928,bonsoir Mamy,positive
936, Bisoussss  hakunamatata,positive
938,Coucou Desesperance,positive
939,ca va illbill,positive
943,bonsoir Farida,positive
945,oui hakunamatata et toi ? ça va mieux ?,positive
946,J'ai déjà hâte.,positive
950,le foot est federateur et sain,positive
958,Ouiiii,positive
959,l'automne c'est bien...,positive
960,Bonne nuit a touss bisousssss,positive
961,bisous forseti,positive
963,Bonsoir hakunamatata,positive
964,oui j'aime bien Mamy,positive
966,Killbill oui bien sur a l epoque disons,positive
967,Merci PetitPierre|Happy-Days|On-AiR,positive
968,bisous hakunamatata,positive
969,"Bien entendu Mamy, c'était pour mettre une note de beauté dans le programme.",positive
970,"Qu'est-ce qui ce passe Forseti ?!! Moi écoute comme d'habitude ,je t'en remercie",positive
971,Adios paella,positive
977,bonne nuit et bisous romantique,positive
987,quand on a gagne la coupe du monde j'etais fiere et heureuse pour la france,positive
996,oui mais tu pourrais bien avoir raison killbill,positive
1002,cool Crepuscule,positive
1003,je me croirais dans soleil vert parfois.,positive
1005,Le_Seigneur_Des_Tombes voilà une saison qui me correspond bien,positive
1007,ben si Baztou33_grr c'est tres dur le foot et ya de quoi etre fier,positive
1008,bonsoir,positive
1009,H-Lamberty: jamais vu de pizza cool mdr,positive
1012,"Pareillement Mamy, elle est beaucoup inspirante de mon point de vue.",positive
1014,Ciao ciao Spanija,positive
1018,ya un deuxieme plutot bien o n dirait,positive
1020,et je sais comment c est fait,positive
1025,idem Tess ;),positive
1031,"pronostics pour l'euro , l'Angleterre va gagner",positive
1032,Le_Seigneur_Des_Tombes Oui c'est agréable...,positive
1033,J'aime bien l'humour divin.,positive
1040,merci pour l'info bojik,positive
1049,aller je vous souhaite une bonne et  douce nuit  et ta jeudi,positive
1051,Forza italiaaaaaaaaaaa,positive
1053,italiaaaaaaaaaaaaa,positive
1054,bise douce nuit killbill,positive
1059,et merci pour tout,positive
1061,merci Tess_ tout va bien,positive
1062,bisousssss bonne nuit hannibal-smith76|venere,positive
1066,salut l'carthaginois,positive
1069,tant mieux hannibal-smith76|venere,positive
1070,Bonne nuit,positive
1073,prépares ton gage mdr bonne nuit,positive
1075,!love killbill,positive
1076,Babycrew t'aime de tout son coeur killbill ! DéClaration devant vous sur #Accueil ! (Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
1077,quand jvois la vivacité de l'angleterre j'ai du mal a imaginer une autre equipe,positive
1079,Bonsoir à tous :),positive
1080,Bonsoir,positive
1081, Bonsoir  Musa,positive
1084,Et viva espagna lol,positive
1086,bonsoir Musa,positive
1095,J'ai de beaux cheveux blonds _Medecin_Ritale.,positive
1096,!seen Charmante,positive
1099,Salam alikom,positive
1100,bonsoir bisou Malicia_,positive
1101,"après Malicia_, chacun aime le sport qu'il veut, c est la démocratie",positive
1104,salut babycrew comment tu vas depuis le temps,positive
1108,salut mamy,positive
1118,coucou,positive
1119,Bonsoir,positive
1124,bonsoir pupuce et BonPapa,positive
1125,c'est joli les cheveux blonds ca evoque les champs de ble en été,positive
1127,Candice cv merci et toi merci d'être venu nous rendre visite,positive
1128,ce qui est bete killbill c de courir lol,positive
1131,Bonsoir,positive
1132," ℹ️ [ INFO Chaat.fr ] ℹ️ : Ici c'est un lieu gratuit [̲̅€̲̅(̲̅0̲̅)̲̅€̲̅] de discussion, de rencontres amicales 웃 유, pour passer un moment convivial et chaleureux ( ^◡^)(^◡^ )! Alors soyez poli, tolérant et respectueux. Merci et Bon Tchat ❗ ٩(●̮̃•)۶",positive
1138,Re bonsoir,positive
1140,Lol mamy tu as bien raison,positive
1141,Salut 😁😁,positive
1142,bonsoir Gemme,positive
1147,le seul sport d équipe sympa c le base ball,positive
1148,Le foot c est bien quand c est bien joué en vrai,positive
1149,Bonsoir excusez moi,positive
1154,Merci killbill,positive
1160,LeRebelle bah euh merci 😳😅,positive
1164,lol Musa c était marrant non ;),positive
1166,Mamy: pas pour moi dsl mais bonne chance lol,positive
1169,goodpics,positive
1172,Merci bcp de vos réponses,positive
1174,Bonne soirée à vous,positive
1176,Killbill bne fin de soirée et bne nuit,positive
1180,Bonne soirée à toi Nikki32,positive
1181,bonne nuit Babycrew,positive
1182,stage ! ah ah,positive
1184,Merciv,positive
1185,Dors bien babycrew,positive
1186,Merci,positive
1187,Ben koi lol,positive
1189,Candice merci,positive
1192,How are you,positive
1193,Allez zou boulot demain,positive
1195,Bonne nuit,positive
1197,bonne nuit babycrew,positive
1199,la sieste de l apres midi ça Mamy :),positive
1202,Candice complètement !,positive
1203,Salut Candice,positive
1204,pour une mamy lol le seigneur :),positive
1205,Sltt nino,positive
1206,salut mamy,positive
1210,possible lol,positive
1211,mdr Mamy,positive
1222,Bah félicitations forseti c est le premier d'une longue liste je crois,positive
1223,rire!,positive
1224,bsr diablotin,positive
1225,au pays de Candice y a des méchants et des gentils :),positive
1228,on s'amuse on pleure on rit,positive
1230,bonsoir bonsoir,positive
1231,;) Mamy,positive
1232,bonsoir P0ussiere2lune|b0ulot,positive
1233,salut à tous jfais des sons pour ceux qui veulent écouter venez me pv,positive
1234,diablotin:  bonsoir,positive
1237,vi Candice :),positive
1241,trop bien j'tenvoie mec attend,positive
1242,bon retour parmi nous aachik,positive
1243,Mamy: y'a des méschant et des jentiiiiii,positive
1244,Bsr tt le monde,positive
1246,"Candice : je reste déçue mais oui, vers l'infini et au-delà ;)",positive
1249,Slt Candice,positive
1250,Tu as fait de ton mieux et le résultat est bon forseti,positive
1251,Slt mamy,positive
1252,mamy lol xD,positive
1253,Bsr chaouki,positive
1254,Bonsoir à tou,positive
1255,c était les meilleures années pourtant Mamy,positive
1261,Moi pupuce,positive
1262,Bonsoir à toutes et à tous,positive
1266,Pupuce en,positive
1270,coucou,positive
1272,Chaouki bien merci et toi ?,positive
1273,Bonsoir.,positive
1274,Salut a tous,positive
1275,rebelle c'est la meilleure période de l'année 80,positive
1277,très bien merci Candice,positive
1279,Salut Les filles,positive
1280,il était flic il faisait du bon boulot lol,positive
1282,bonsoir,positive
1288,ah mdr Mamy,positive
1291,oui c'est gratuit pour poster etc c'est super,positive
1292,donc oui,positive
1296, Forseti prend Davros dans ses bras et lui fait un énorme calin ❤❤❤,positive
1297,bah ça ferait de bonnes sonneries de portable pour nokia 3210.,positive
1299,jprends ça pour un giga compliment snif,positive
1301,bonsoir,positive
1303,diablotin c'est un secret pour personne ça ;),positive
1307,je plaisante hein lol,positive
1312,Bonsoir,positive
1313,"diablotin Bon, tu sais maintenant ;)",positive
1314,Tout ce qui compte c'est d'avoir l'esprit créatif.,positive
1321,salut hujj,positive
1322,"Bonsoir a6vous, moi c est callie",positive
1326,"Forseti: Encore mieux, tu as les Scoubidous !",positive
1327,Bonsoir,positive
1329,par contre j'aime bien les photos.,positive
1334,bonsoir Flower,positive
1336,coucou,positive
1338,Davros : j'en ai encore dans mes affaires normalement ^^ T'aimes ça toi ?,positive
1342,tfais du piano damn,positive
1344,Coucou,positive
1347,:-)),positive
1355,Mamy:  maintenant j'ai tout compris lol,positive
1356,Bonsoir,positive
1358,bonsoir Martaass,positive
1359,tu  joues bien du piano,positive
1361,moi jveux apprendre le ukulele,positive
1366,Mona c'est ma pote elle m'aide à faire les sons,positive
1369,Bsr Foresti,positive
1374,le ukulélé c'est le plus simple.,positive
1376,C'est toi sur la pp t'es bg,positive
1378,Salut,positive
1380,ohhh chicago go go  ^^,positive
1381,bonsoir,positive
1385,"Koharu moi il me donne l'impression d'être la protagoniste d'un film fantastique, féerique...",positive
1386,Bsr tlm,positive
1388,Ouï chaouki,positive
1389,bonsoir Insomnie et Sarah38,positive
1395,"Forseti: Mais je me souviens que les scoubidous, pour se détendre, c'est du lourd !",positive
1396,t'es un artiste boy tu dead ça,positive
1399,magnifique piano c'est chill et sad ambiance mysterious depressed boys snif,positive
1400,"Davros : mmh, te connaissant ça se tient. Il est vrai que les trains c'est sympa ^^ Et bof, ça me frustrait à l'époque, je n'arivais pas à faire les noeuds :/",positive
1401,"Tresser du plastique, y'a que ça dans la vie !",positive
1403,Salut ❤️🌃,positive
1404,Exactement mamy,positive
1409,Bsr Aikonyme_cosplay,positive
1410,sveltes lol et pas betes :),positive
1414,Bonsoir,positive
1416,Bsr :),positive
1419,je sais pas elle a poppé au milieu des autres.,positive
1425,écoute ma dernière so easy avec ma pote duh,positive
1427,j'écoute toujours ton son là c'est woaw,positive
1431,Elle dure 7 secondes so easy.,positive
1434,Bsr :),positive
1435,Oh je suis sur que vous ete forte mamy,positive
1437,Pauline:  bonsoir,positive
1439,Bsr Pauline,positive
1440,re bonsoir,positive
1441,Bsr Pauline,positive
1448,ha ha ha,positive
1449,la forme Pauline,positive
1456,"Davros : au moins ça t'a un peu changé, de te faire jeter.",positive
1460,diablotin:  ah bon? pourtant je trouvais ça bien moi,positive
1461,bonne nuit,positive
1462,bah clairement 30 secondes c'est giga bien,positive
1465,Miam-miam,positive
1467,Bsr!,positive
1469,j aurais adoré la fac lol,positive
1472,bonne nuit noun,positive
1473,ego huic musicae exultant lusibus  ^^,positive
1474,bonsoir Virginie,positive
1478,mais toute jeune Mamy,positive
1479,hakunamatata:  bonne nuit à toi aussi,positive
1480,"LeRebelle: Un gros si tu veux y'a plein de doctorant, ou aspirant doctorant à qui on confiture de pomme des cours... :D",positive
1481,C'est une très jeune mamy,positive
1483,mais je suis sur j aurais adoré lol,positive
1484,Si  bien mamy,positive
1485,diablotin:  tu te proposes si gentiement,positive
1487,merci hakunamatata,positive
1494,la fac m a tjrs plu en plus,positive
1495,oé c'est sûr,positive
1502,!calin,positive
1503,Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,positive
1504,te fatigue pas trop P0ussiere2lune,positive
1505,ça donne envie de danser la zumba,positive
1507,les boumboums,positive
1508,la basse elle tue samère,positive
1509,ça donn envie de twerk sale,positive
1512,Coucou,positive
1513,!kiss Candice,positive
1514,Chaouki fait un énorme Kiiiiisss à Candice,positive
1516,bonsoir Ayna,positive
1521,Bsr Ayna,positive
1524,Ne te moque pas enissay 😂,positive
1526,Viva ITALIA,positive
1535,ya la demi demain FinaleItalieDanemark rhooooooooo,positive
1539,Enissay j'en veux bien aussi,positive
1540,exactement dablotin,positive
1544,mangplus allez Danemark :D,positive
1545,Bsr sublime,positive
1551,Merci enissay ça donne envie en tout cas muam,positive
1552,miam,positive
1555,Candice: bonsoir,positive
1557,Le_Seigneur_Des_Tomb très bien le son mais jpref le piano,positive
1562,C'est juste pour m'amuser que je fais ça Koharu.,positive
1564,Bonsoir P0ussiere2lune|TaFF comment vas tu?,positive
1566,Le_Seigneur_Des_Tomb moi aussi jm'amuse grave avec ça,positive
1567,mais merci.,positive
1569,killbill: merci lol,positive
1572,de rien Little_Ch33ky :),positive
1573,diablotin:  euh non non ça va,positive
1574,bjsre,positive
1575,Le_Seigneur_Des_Tomb avoue le mec sur ma pp c'esst un bg,positive
1576,Candice:  très bien et toi même?,positive
1578,En plus si t'es avec quelqu'un tu peux passer des bonnes soirées à faire des musiques.,positive
1579,killbill:  bonsoir,positive
1583,Bien merci P0ussiere2lune|TaFF 🙃,positive
1586, Bonsoir  P0ussiere2lune|TaFF,positive
1587,Le_Seigneur_Des_Tomb clairement jvais inviter ma pote on va faire des sons toute la nuit sans dormir,positive
1590,et on va sortir un album,positive
1591,Bsr personne,positive
1592,vs souhaite bonne nuit à tous,positive
1593,a bientot,positive
1595,Bonne nuit lerebelle,positive
1596,LeRebelle:  bonne nuit à aussi,positive
1602,"ca me dérange pas Koharu, c'est mon genre d'humour les photos que t'as choisi.",positive
1603,Celle de la poubelle est pas mal ha ha .,positive
1604,bonne nuit les loulous faites de beaux rêves,positive
1605,"diablotin toujours là, toujours en forme",positive
1606,bonne nuit lebelle,positive
1607,chouchou74:  bonne nuit à toi aussi,positive
1608,les mecs sur les photos sont tous beaux c'est mon type surtout la pp c'est un rappeur c'est mon style ultime de mec si y'a qq qui ressemble à ça jdeviens ouf,positive
1609,Unze blaguounette mignonne: les 3 petits cochons qui se promènent dans la fprêt,positive
1610,Bsr marocainerespet,positive
1613,Ils entendent whooohooo !!,positive
1616,Bonne nuit chouchou74,positive
1619,Bsr insomnie,positive
1623,c'est le plus beau des beaux,positive
1627,Bsr terre,positive
1632,"Un petit cochon se retourne vers ses deux amis : les compains, on a du bol sur ce coup là",positive
1634,!calin,positive
1635,Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,positive
1636,Je veux bien te couper les cheveux enissay,positive
1641,Candice:  c'est le seul truc qui me rend un peu beau o:,positive
1643,Enissay c'était juste pour rendre service,positive
1647,le son j'aime bien.,positive
1648,il est incr,positive
1653,Bonsoir,positive
1657,ouiiiii,positive
1663,"caline sous le pied de son felin , au moins la bete elle est reconnaissante",positive
1669,je l'aime tellement,positive
1670,coucou,positive
1673,"En tout cas bons sons, merci.",positive
1674,derienn,positive
