channel,message,default label,default score,camembert label,camembert score
#accueil,bonne soirée pipoune,NEGATIVE,0.8779,NEUTRAL,0.5647
#accueil,qui pv,NEGATIVE,0.7415,NEUTRAL,0.6345
#accueil,vous inquiétez pas les filles ça ira mieux dmeain,NEGATIVE,0.9597,NEUTRAL,0.6634
#accueil,Personne,POSITIVE,0.6753,NEGATIVE,0.8794
#accueil,bonne idée bidou,NEGATIVE,0.8571,POSITIVE,0.8614
#accueil,!seen sososen,POSITIVE,0.9778,POSITIVE,0.7414
#accueil,demain paron,NEGATIVE,0.9464,NEUTRAL,0.5103
#accueil,"Sososen (Chaat@B47D95B.96F10272.CD20A92.IP) a été vu pour la dernière fois quitter #Accueil il y a 6 heures, 25 minutes (Bon retour sur www.chaat.fr).",NEGATIVE,0.9907,NEGATIVE,0.7772
#accueil,bonne nuit Ennour,POSITIVE,0.686,POSITIVE,0.7634
#accueil,bon ça va aller à la prolongation ça hannibal-smith76|venere,NEGATIVE,0.9838,NEGATIVE,0.7125
#accueil, Bisoussss  new-man,NEGATIVE,0.9557,POSITIVE,0.8753
#accueil,"Terre-Hermess Garde ma place, je vais au tit coin!",POSITIVE,0.7643,NEGATIVE,0.7638
#accueil,fais de beaux reves pipoune,POSITIVE,0.8382,NEUTRAL,0.5629
#accueil,!kiss killbill,POSITIVE,0.9967,POSITIVE,0.8414
#accueil,new-man fait un énorme Kiiiiisss à killbill,NEGATIVE,0.9954,POSITIVE,0.6989
#accueil,oui killbill je pense,NEGATIVE,0.9828,POSITIVE,0.8669
#accueil,TiteSeve >> encore ???,NEGATIVE,0.9678,NEGATIVE,0.9618
#accueil,Salut à tous et à toutes,NEUTRAL,0.5061,NEUTRAL,0.6624
#accueil,salut,NEGATIVE,0.9924,POSITIVE,0.7455
#accueil,Bonjour,POSITIVE,0.9679,POSITIVE,0.6751
#accueil, Bonsoir  Tvh,NEGATIVE,0.7773,POSITIVE,0.7429
#accueil,"Chaat.fr - n°30149  Aujourd'hui, mon amoureux et moi retapons une maison. Un technicien de mon opérateur téléphonique est passé pour relier la maison au poteau téléphonique. Il a effectivement relié quelque chose au poteau : ma sonnette ! Elle peut donc maintenant appeler en illimité. VDM ",NEGATIVE,0.9321,NEGATIVE,0.886
#accueil,Sex tel ?,NEGATIVE,0.9699,NEUTRAL,0.6522
#accueil,non plus,NEGATIVE,0.9786,NEGATIVE,0.9319
#accueil,c pas ta faute mais on s'en blk le s,NEUTRAL,0.5435,NEGATIVE,0.862
#accueil,au fait killbill as tu lu mon message en pv,NEGATIVE,0.9847,POSITIVE,0.7382
#accueil,(rire),NEGATIVE,0.9696,NEUTRAL,0.5695
#accueil,je suis en train hannibal-smith76|venere,NEUTRAL,0.6203,NEUTRAL,0.5049
#accueil,????????,NEGATIVE,0.9411,POSITIVE,0.7261
#accueil,oki merci,NEGATIVE,0.9657,POSITIVE,0.8367
#accueil,Tsss.,NEGATIVE,0.934,NEUTRAL,0.5013
#accueil,"Bah oué Terre-Hermess, encore",NEGATIVE,0.9565,NEGATIVE,0.6768
#accueil,Loane mdr keskia,NEGATIVE,0.9721,NEUTRAL,0.6564
#accueil,!Seen Mariie,POSITIVE,0.9982,NEUTRAL,0.6094
#accueil,"Mariie (Chaat@DF848C5B.F0AE1EA3.BFD94F61.IP) a été vu pour la dernière fois quitter #Accueil il y a 2 heures, 18 minutes (Bon retour sur www.chaat.fr).",NEGATIVE,0.9868,NEGATIVE,0.8256
#accueil,hier j'ai fait du criquet avec mes amicalités distingués nous somme allés faire ce que j'appelle un boulot au cul de mon meilleur amicailtage,NEGATIVE,0.9219,NEGATIVE,0.9636
#accueil,TiteSeve >> n'est plus étanche...,NEGATIVE,0.7433,NEGATIVE,0.9716
#accueil,bonsoir :),POSITIVE,0.9608,POSITIVE,0.8673
#accueil," ?? [ INFO Chaat.fr ] ?? : Ce TChat étant Francophone, nous vous invitons à écrire de façon à ce que vous soyez compris par TOUS. Le language SMS n'est pas toléré... ba ué c kom sa dsl. Tout abus après ce message sera puni sans préavis ! (?'?-'?)?(/?o?)/",NEGATIVE,0.9936,NEUTRAL,0.6008
#accueil,"Rire Terre-Hermess, ça va encore",NEGATIVE,0.9087,NEGATIVE,0.7657
#accueil,ca va ?,NEGATIVE,0.993,NEUTRAL,0.6451
#accueil,on parle avec plusieurs personnes simultanément?,NEGATIVE,0.9808,NEGATIVE,0.8489
#accueil,Mdr loane,NEGATIVE,0.9861,POSITIVE,0.7305
#accueil,TiteSeve >> est alèze...,NEGATIVE,0.9749,NEGATIVE,0.885
#accueil,oui xlormilena,POSITIVE,0.9381,POSITIVE,0.698
#accueil,Bécots ma TiteSeve préférée,NEGATIVE,0.9876,NEUTRAL,0.6128
#accueil,Terre-Hermess Suis continente heing!,NEGATIVE,0.88,NEUTRAL,0.5963
#accueil,LoL TiteSeve,NEGATIVE,0.9937,NEUTRAL,0.5834
#accueil,Bonjour comment allez vous très chers amitiés distinguées de la toile ?,NEGATIVE,0.9677,NEUTRAL,0.5053
#accueil,Bisousssssssssssssssssss mon préféré bourriquet Massss <3,NEGATIVE,0.9897,POSITIVE,0.9136
#accueil,Bonsoir,POSITIVE,0.9956,POSITIVE,0.7414
#accueil,!kiss killbill,POSITIVE,0.9967,POSITIVE,0.8414
#accueil,Babycrew fait un énorme Kiiiiisss à killbill,NEGATIVE,0.9953,NEUTRAL,0.6552
#accueil,:p ma killbill,NEGATIVE,0.9594,NEUTRAL,0.6323
#accueil,TiteSeve >> ton canapé n'est pas d'accord,NEGATIVE,0.9341,NEGATIVE,0.9188
#accueil,certainement pas,POSITIVE,0.9444,NEGATIVE,0.9644
#accueil,Salut recherche pv sympa,NEGATIVE,0.7063,POSITIVE,0.6767
#accueil,Mes 3 canapés se portent bieng Terre-Hermess!,NEUTRAL,0.5854,NEUTRAL,0.6523
#accueil,comment fait-on pour créer un tchat réservé à deux personnes?,NEGATIVE,0.9322,NEGATIVE,0.9678
#accueil,cherche femme pour bras anusien fast dm ig,POSITIVE,0.784,NEUTRAL,0.6628
#accueil,prolongation espagne italie,NEGATIVE,0.9908,NEGATIVE,0.7126
#accueil,cherche orgasme,NEUTRAL,0.5113,NEUTRAL,0.5031
#accueil,xlormilena un pv donc.. il suffit de cliquer sur le pseudo et privé,NEGATIVE,0.9349,NEGATIVE,0.7676
#accueil,Basseme y a combien 1 partout,NEGATIVE,0.9097,NEUTRAL,0.6476
#accueil,Viens en pv,NEUTRAL,0.5763,POSITIVE,0.7906
#accueil,t naze,NEGATIVE,0.9652,NEGATIVE,0.9864
#accueil,lourd,NEGATIVE,0.9906,NEGATIVE,0.6776
#accueil,cela s'appelle un  pv xlormilena,NEGATIVE,0.697,POSITIVE,0.6816
#accueil,oui Babycrew,NEGATIVE,0.8781,POSITIVE,0.7639
#accueil,Mars07: vois avec nazou,NEGATIVE,0.6746,NEUTRAL,0.66
#accueil,cherche un sexe afro humain pour me deboiter les cotelettes,NEGATIVE,0.8558,NEUTRAL,0.6546
#accueil,Chapeau,NEUTRAL,0.6129,NEUTRAL,0.6047
#accueil,comment va tu,NEUTRAL,0.5483,POSITIVE,0.6769
#accueil,prolongation,NEGATIVE,0.9926,NEGATIVE,0.6871
#accueil,J espere que l Espagne va gagner,POSITIVE,0.8279,POSITIVE,0.8454
#accueil,nazou Mars07 allez en pv et laissez ns tranquil,POSITIVE,0.954,NEUTRAL,0.6134
#accueil,non ! Babycrew il ne faut pas mdrr,NEGATIVE,0.9723,NEGATIVE,0.8863
#accueil,moi aussi,POSITIVE,0.9369,POSITIVE,0.7289
#accueil,Salut delinekira,NEGATIVE,0.994,POSITIVE,0.7665
#accueil,Moi aussi,POSITIVE,0.9369,POSITIVE,0.6919
#accueil,viva espana,POSITIVE,0.9994,POSITIVE,0.7234
#accueil,que recherche tu par ici,POSITIVE,0.736,NEUTRAL,0.599
#accueil,hello,POSITIVE,0.9995,POSITIVE,0.8056
#accueil,en fait moi je m en fiche qui gagne c est juste pour gagner mon pari mdrr,NEGATIVE,0.9453,NEGATIVE,0.8067
#accueil,Heller jasmine,POSITIVE,0.9884,NEUTRAL,0.5669
#accueil,Les italiens vont perdre hihihi....bzzz killbill,NEGATIVE,0.9953,NEUTRAL,0.5936
#accueil, Bonsoir  jasmine,POSITIVE,0.9985,POSITIVE,0.8561
#accueil,Hello,POSITIVE,0.9995,POSITIVE,0.7939
#accueil,mdrr,NEGATIVE,0.8583,NEUTRAL,0.6546
#accueil,Rire ma killbill!,NEGATIVE,0.9683,NEUTRAL,0.5347
#accueil,vu les dissonances nominatifs,NEGATIVE,0.9872,NEGATIVE,0.7568
#accueil, Bisoussss  stage mais non !,NEGATIVE,0.9473,NEGATIVE,0.9339
#accueil,bonsoir ya des filles pour un pv,POSITIVE,0.7605,NEUTRAL,0.5261
#accueil,Un pv et faire connaissance et toi,NEGATIVE,0.9428,NEUTRAL,0.5312
#accueil,Mais si....,NEUTRAL,0.5658,NEGATIVE,0.8086
#accueil,mais non,NEGATIVE,0.9652,NEUTRAL,0.6387
#accueil,et vu les faits,NEUTRAL,0.579,NEUTRAL,0.5296
#accueil,ça c'est pas fait killbill,NEGATIVE,0.949,NEGATIVE,0.9335
#accueil,bonsoir Aux arrivants!,POSITIVE,0.929,NEUTRAL,0.545
#accueil,les doigts dans le nez hannibal-smith76|venere mdrrrr,NEGATIVE,0.9705,NEGATIVE,0.8034
#accueil,mdrr,NEGATIVE,0.8583,NEUTRAL,0.6546
#accueil,Ils ont mal défendu....leur spécialité,NEGATIVE,0.9893,NEGATIVE,0.9876
#accueil,"la final c est pour le Danemark, ca sert a rien de regarder ce match lol",NEGATIVE,0.8108,NEGATIVE,0.9957
#accueil,Merci au DJ did29 d'avoir fait cette animation Radio ! ???,NEGATIVE,0.9515,POSITIVE,0.7006
#accueil,maisje vous dis que les italiens vont gagner l euro,NEGATIVE,0.9727,NEUTRAL,0.6063
#accueil,Killbill mais en vrai je me suis tromper j ai confondu avec le Portugal vu que je supporte Christian Ronaldo autant pour moi,NEGATIVE,0.9627,NEGATIVE,0.7085
#accueil,ne cherchez pas mdrrr,NEGATIVE,0.9501,NEGATIVE,0.7353
#accueil,mdrr,NEGATIVE,0.8583,NEUTRAL,0.6546
#accueil,mdrrr Babycrew,NEGATIVE,0.9574,NEGATIVE,0.8054
#accueil,"Hannibal-smith76|venere, le 76 c'est pour la Seine-Maritime? et bonsoir :)",NEGATIVE,0.9152,NEUTRAL,0.6059
#accueil,Heyy tout le monde !,POSITIVE,0.9967,POSITIVE,0.789
#accueil,killbill: nn deja ce soir c est pas sur,NEGATIVE,0.9572,NEGATIVE,0.8454
#accueil,Les anglais gagneront l euro,POSITIVE,0.8386,NEUTRAL,0.6168
#accueil,tizi je garde espoir !,POSITIVE,0.9266,NEUTRAL,0.6229
#accueil,tss tsss stage,NEGATIVE,0.7756,NEUTRAL,0.5517
#accueil,oui c'est ça TiteSeve,NEGATIVE,0.9256,NEUTRAL,0.5433
#accueil,Gode save the queen,NEUTRAL,0.5567,NEUTRAL,0.5199
#accueil,"chut, revoilà bidou",NEGATIVE,0.9912,NEGATIVE,0.7315
#accueil,les anglais ils vont faire comme les belges,NEGATIVE,0.8421,NEGATIVE,0.7913
#accueil,aller pleurer,NEGATIVE,0.924,NEUTRAL,0.5925
#accueil,Arffff le e désolé,NEGATIVE,0.9804,NEGATIVE,0.9951
#accueil,mdrrr,NEGATIVE,0.9476,NEGATIVE,0.7822
#accueil,killbill: c est bien l espoir mais ca garantit rien,NEGATIVE,0.934,NEGATIVE,0.9835
#accueil,bien le bonsoir,POSITIVE,0.9769,POSITIVE,0.713
#accueil,Un anglais ça ne pleure pas ça a du faire play,NEGATIVE,0.876,NEGATIVE,0.9478
#accueil,je sais bien tizi,NEGATIVE,0.8775,NEUTRAL,0.5021
#accueil,Quelle ville/village hannibal-smith76|venere? (10 ans à Rouen pour ma part),NEGATIVE,0.965,NEUTRAL,0.5806
#accueil,mdrr bah voyons stage,NEGATIVE,0.9164,NEGATIVE,0.7132
#accueil,Et Mont saint aignan,POSITIVE,0.7808,NEGATIVE,0.6708
#accueil,Et du fitching,NEGATIVE,0.9937,NEUTRAL,0.5467
#accueil,TiteSeve >> fait collection de canapés ??,NEGATIVE,0.9754,NEGATIVE,0.9259
#accueil,Fighting spirit,NEGATIVE,0.8656,NEUTRAL,0.6365
#accueil,J'ai un grand salon Terre-Hermess! :o,POSITIVE,0.9846,POSITIVE,0.7914
#accueil,Hello,POSITIVE,0.9995,POSITIVE,0.7939
#accueil,cool TiteSeve,NEGATIVE,0.9979,POSITIVE,0.7164
#accueil,Et ca mange des puddings,NEGATIVE,0.9743,NEGATIVE,0.8442
#accueil,ma chere killbill vous revez,NEGATIVE,0.9828,POSITIVE,0.7347
#accueil,pourquoi personne ne veut me parler ?,NEGATIVE,0.9022,NEGATIVE,0.8719
#accueil,bonsoir Bilbon,NEGATIVE,0.6837,POSITIVE,0.8295
#accueil,"m'enfin reste Belkacem|dz, je te promets que Lorem ne recommencera plus :s",NEGATIVE,0.9,NEUTRAL,0.5174
#accueil,jamais éveillée hannibal-smith76|venere mdrrr,NEGATIVE,0.9724,NEGATIVE,0.8619
#accueil,bonsoir Bilbon (le hoquet?),NEGATIVE,0.9794,NEUTRAL,0.5307
#accueil,Une petite séance de tirs aux buts,NEGATIVE,0.6799,NEGATIVE,0.9681
#accueil,bonsoir chuchoteur :),NEGATIVE,0.7075,POSITIVE,0.8179
#accueil,Je vous laisse passer une bonne soirée puis une bonne nuit,NEGATIVE,0.9571,NEGATIVE,0.695
#accueil,de meme Brune,POSITIVE,0.9915,NEUTRAL,0.5257
#accueil,Bilbon meilleur pseudo du jour,NEGATIVE,0.9858,NEUTRAL,0.6138
#accueil,Tel ?,NEGATIVE,0.9732,NEUTRAL,0.5893
#accueil,bonne soirée Brune,NEGATIVE,0.8305,NEUTRAL,0.566
#accueil,Merci chuchoteur killbill,NEGATIVE,0.9906,POSITIVE,0.773
#accueil," ?? [ INFO Chaat.fr ] ?? : Tapez !radio pour avoir les liens de vos DJ préférés ???, ou Activez le player en bas de page sur les boutons: ??? ?",NEGATIVE,0.9843,NEUTRAL,0.5834
#accueil,Je te dois d'être sur le sommet ma killbill?,NEGATIVE,0.9884,NEUTRAL,0.5718
#accueil,TiteSeve:  je t'ai répondu en pv,NEGATIVE,0.8097,NEUTRAL,0.5624
#accueil,Danemark je vous le dis c est a eux le trophée lol,NEGATIVE,0.9735,NEGATIVE,0.8158
#accueil,bonne nuit brune,NEGATIVE,0.6691,NEUTRAL,0.6215
#accueil,oui ma TiteSeve,NEGATIVE,0.9048,NEUTRAL,0.6263
#accueil,Hello,POSITIVE,0.9995,POSITIVE,0.7939
#accueil, Bonsoir  Linda,POSITIVE,0.9914,POSITIVE,0.7744
#accueil,Moi j attend les pleurs des italiens avant d aller me coucher,NEUTRAL,0.5589,NEGATIVE,0.8502
#accueil,Merci à toi aussi Hannibal-smith76 venere,NEGATIVE,0.9534,POSITIVE,0.7895
#accueil,LoL stage tu vas attendre longtemps,NEGATIVE,0.8822,NEGATIVE,0.9729
#accueil,Little_Doolx3 salut,NEGATIVE,0.9951,POSITIVE,0.6723
#accueil,Bille jean,POSITIVE,0.8842,NEUTRAL,0.5338
#accueil,Vu hannibal-smith76|venere :),NEGATIVE,0.8424,NEUTRAL,0.6144
#accueil,il faudra que ce soit toi qui pleures mdrrr,NEGATIVE,0.9529,NEGATIVE,0.8038
#accueil,Une demi heure,POSITIVE,0.981,NEGATIVE,0.9346
#accueil,Duotrio salut,NEGATIVE,0.7666,POSITIVE,0.7098
#accueil,Billie jean,POSITIVE,0.9988,NEUTRAL,0.6011
#accueil,bonsoir Linda,POSITIVE,0.9931,POSITIVE,0.7079
